#exemplar 1:
Yo; duque; arquiduque; youtubeInfluencer; principe; rei; apresentadoraFamaShow
#cluster 1:
Esmeraldinha Montego; arquiduque; tiktokStar; duque; duquesa; arquiduque; baronesa
Francisquinha Capuleto; duque; condessa; arquiduque; condessa; visconde; viscondessa
Jane Windsor; duque; princesa; arquiduque; arquiduquesa; conde; viscondessa
Lili Lambrusca; apresentadorFamaShow; condessa; arquiduque; condessa; visconde; viscondessa
#exemplar 2:
Me; rei; rainha; visconde; apresentadoraFamaShow; tiktokStar; condessa
#cluster 2:
Alberto; rei; rainha; visconde; viscondessa; vencedoraFestivalRTP; apresentadoraFamaShow
Armandinho de Alfama; youtubeInfluencer; tiktokStar; plebeu; plebeia; plebeu; plebeia
#exemplar 3:
Gonçalves; rainha; conde; rei; plebeu; plebeu; plebeu
#cluster 3:
Stephanie Grimaldi; principe; plebeia; principe; princesa; plebeu; plebeia
